name|folder|def|order|key|avatar|idle|walk|punch|kick|guard|hit
Jotaro|Jotaro|Jotaro|2|jotaro|mugen/jotaro/idle_00_0_0.png|mugen/jotaro/idle_00_0_0.png;mugen/jotaro/idle_01_0_1.png;mugen/jotaro/idle_02_0_2.png;mugen/jotaro/idle_03_0_3.png;mugen/jotaro/idle_04_0_4.png;mugen/jotaro/idle_05_0_5.png|mugen/jotaro/walk_00_20_0.png;mugen/jotaro/walk_01_20_1.png;mugen/jotaro/walk_02_20_2.png;mugen/jotaro/walk_03_20_3.png;mugen/jotaro/walk_04_20_4.png;mugen/jotaro/walk_05_20_5.png;mugen/jotaro/walk_06_20_6.png;mugen/jotaro/walk_07_20_7.png|mugen/jotaro/punch_00_200_0.png;mugen/jotaro/punch_01_200_1.png;mugen/jotaro/punch_02_200_2.png;mugen/jotaro/punch_03_200_2.png;mugen/jotaro/punch_04_200_3.png|mugen/jotaro/idle_00_0_0.png;mugen/jotaro/idle_01_0_1.png;mugen/jotaro/idle_02_0_2.png;mugen/jotaro/idle_03_0_3.png;mugen/jotaro/idle_04_0_4.png;mugen/jotaro/idle_05_0_5.png|mugen/jotaro/guard_00_120_1.png|mugen/jotaro/hit_00_0_8.png;mugen/jotaro/hit_01_0_9.png;mugen/jotaro/hit_02_0_10.png;mugen/jotaro/hit_03_0_11.png
JotaroK|JotaroK|JotaroK|2|jotaro|mugen/jotaro/idle_00_0_0.png|mugen/jotaro/idle_00_0_0.png;mugen/jotaro/idle_01_0_1.png;mugen/jotaro/idle_02_0_2.png;mugen/jotaro/idle_03_0_3.png;mugen/jotaro/idle_04_0_4.png;mugen/jotaro/idle_05_0_5.png|mugen/jotaro/walk_00_20_0.png;mugen/jotaro/walk_01_20_1.png;mugen/jotaro/walk_02_20_2.png;mugen/jotaro/walk_03_20_3.png;mugen/jotaro/walk_04_20_4.png;mugen/jotaro/walk_05_20_5.png;mugen/jotaro/walk_06_20_6.png;mugen/jotaro/walk_07_20_7.png|mugen/jotaro/punch_00_200_0.png;mugen/jotaro/punch_01_200_1.png;mugen/jotaro/punch_02_200_2.png;mugen/jotaro/punch_03_200_2.png;mugen/jotaro/punch_04_200_3.png|mugen/jotaro/idle_00_0_0.png;mugen/jotaro/idle_01_0_1.png;mugen/jotaro/idle_02_0_2.png;mugen/jotaro/idle_03_0_3.png;mugen/jotaro/idle_04_0_4.png;mugen/jotaro/idle_05_0_5.png|mugen/jotaro/guard_00_120_1.png|mugen/jotaro/hit_00_0_8.png;mugen/jotaro/hit_01_0_9.png;mugen/jotaro/hit_02_0_10.png;mugen/jotaro/hit_03_0_11.png
JotaroK 3|JotaroK 3|JotaroK|1|jotaro|mugen/jotaro/idle_00_0_0.png|mugen/jotaro/idle_00_0_0.png;mugen/jotaro/idle_01_0_1.png;mugen/jotaro/idle_02_0_2.png;mugen/jotaro/idle_03_0_3.png;mugen/jotaro/idle_04_0_4.png;mugen/jotaro/idle_05_0_5.png|mugen/jotaro/walk_00_20_0.png;mugen/jotaro/walk_01_20_1.png;mugen/jotaro/walk_02_20_2.png;mugen/jotaro/walk_03_20_3.png;mugen/jotaro/walk_04_20_4.png;mugen/jotaro/walk_05_20_5.png;mugen/jotaro/walk_06_20_6.png;mugen/jotaro/walk_07_20_7.png|mugen/jotaro/punch_00_200_0.png;mugen/jotaro/punch_01_200_1.png;mugen/jotaro/punch_02_200_2.png;mugen/jotaro/punch_03_200_2.png;mugen/jotaro/punch_04_200_3.png|mugen/jotaro/idle_00_0_0.png;mugen/jotaro/idle_01_0_1.png;mugen/jotaro/idle_02_0_2.png;mugen/jotaro/idle_03_0_3.png;mugen/jotaro/idle_04_0_4.png;mugen/jotaro/idle_05_0_5.png|mugen/jotaro/guard_00_120_1.png|mugen/jotaro/hit_00_0_8.png;mugen/jotaro/hit_01_0_9.png;mugen/jotaro/hit_02_0_10.png;mugen/jotaro/hit_03_0_11.png
Jotaro-SPR|Jotaro-SPR|Jotaro-SPR|3|jotaro|mugen/jotaro/idle_00_0_0.png|mugen/jotaro/idle_00_0_0.png;mugen/jotaro/idle_01_0_1.png;mugen/jotaro/idle_02_0_2.png;mugen/jotaro/idle_03_0_3.png;mugen/jotaro/idle_04_0_4.png;mugen/jotaro/idle_05_0_5.png|mugen/jotaro/walk_00_20_0.png;mugen/jotaro/walk_01_20_1.png;mugen/jotaro/walk_02_20_2.png;mugen/jotaro/walk_03_20_3.png;mugen/jotaro/walk_04_20_4.png;mugen/jotaro/walk_05_20_5.png;mugen/jotaro/walk_06_20_6.png;mugen/jotaro/walk_07_20_7.png|mugen/jotaro/punch_00_200_0.png;mugen/jotaro/punch_01_200_1.png;mugen/jotaro/punch_02_200_2.png;mugen/jotaro/punch_03_200_2.png;mugen/jotaro/punch_04_200_3.png|mugen/jotaro/idle_00_0_0.png;mugen/jotaro/idle_01_0_1.png;mugen/jotaro/idle_02_0_2.png;mugen/jotaro/idle_03_0_3.png;mugen/jotaro/idle_04_0_4.png;mugen/jotaro/idle_05_0_5.png|mugen/jotaro/guard_00_120_1.png|mugen/jotaro/hit_00_0_8.png;mugen/jotaro/hit_01_0_9.png;mugen/jotaro/hit_02_0_10.png;mugen/jotaro/hit_03_0_11.png
Jotaro Over Heaven|Jotaro Over Heaven|Jotaro Over Heaven|3|jotaro|mugen/jotaro/idle_00_0_0.png|mugen/jotaro/idle_00_0_0.png;mugen/jotaro/idle_01_0_1.png;mugen/jotaro/idle_02_0_2.png;mugen/jotaro/idle_03_0_3.png;mugen/jotaro/idle_04_0_4.png;mugen/jotaro/idle_05_0_5.png|mugen/jotaro/walk_00_20_0.png;mugen/jotaro/walk_01_20_1.png;mugen/jotaro/walk_02_20_2.png;mugen/jotaro/walk_03_20_3.png;mugen/jotaro/walk_04_20_4.png;mugen/jotaro/walk_05_20_5.png;mugen/jotaro/walk_06_20_6.png;mugen/jotaro/walk_07_20_7.png|mugen/jotaro/punch_00_200_0.png;mugen/jotaro/punch_01_200_1.png;mugen/jotaro/punch_02_200_2.png;mugen/jotaro/punch_03_200_2.png;mugen/jotaro/punch_04_200_3.png|mugen/jotaro/idle_00_0_0.png;mugen/jotaro/idle_01_0_1.png;mugen/jotaro/idle_02_0_2.png;mugen/jotaro/idle_03_0_3.png;mugen/jotaro/idle_04_0_4.png;mugen/jotaro/idle_05_0_5.png|mugen/jotaro/guard_00_120_1.png|mugen/jotaro/hit_00_0_8.png;mugen/jotaro/hit_01_0_9.png;mugen/jotaro/hit_02_0_10.png;mugen/jotaro/hit_03_0_11.png
Kakyoin|Kakyoin|Kakyoin|1||||||||
Kakyoin 2|Kakyoin 2|Kakyoin|1||||||||
Avdol|Avdol|Avdol|1||||||||
Polnareff|Polnareff|Polnareff|1|polnareff|mugen/polnareff/idle_00_0_0.png|mugen/polnareff/idle_00_0_0.png;mugen/polnareff/idle_01_0_1.png;mugen/polnareff/idle_02_0_2.png;mugen/polnareff/idle_03_0_1.png;mugen/polnareff/idle_04_0_0.png|mugen/polnareff/walk_00_20_0.png;mugen/polnareff/walk_01_20_1.png;mugen/polnareff/walk_02_20_2.png;mugen/polnareff/walk_03_20_3.png;mugen/polnareff/walk_04_20_4.png;mugen/polnareff/walk_05_20_5.png;mugen/polnareff/walk_06_20_6.png;mugen/polnareff/walk_07_20_7.png|mugen/polnareff/punch_00_200_0.png;mugen/polnareff/punch_01_200_1.png;mugen/polnareff/punch_02_200_2.png;mugen/polnareff/punch_03_200_3.png|mugen/polnareff/kick_00_230_1.png;mugen/polnareff/kick_01_230_2.png;mugen/polnareff/kick_02_230_3.png;mugen/polnareff/kick_03_230_4.png;mugen/polnareff/kick_04_230_5.png;mugen/polnareff/kick_05_230_6.png;mugen/polnareff/kick_06_230_7.png;mugen/polnareff/kick_07_230_8.png;mugen/polnareff/kick_08_230_9.png;mugen/polnareff/kick_09_230_10.png|mugen/polnareff/idle_00_0_0.png;mugen/polnareff/idle_01_0_1.png;mugen/polnareff/idle_02_0_2.png;mugen/polnareff/idle_03_0_1.png;mugen/polnareff/idle_04_0_0.png|mugen/polnareff/hit_00_0_0.png;mugen/polnareff/hit_01_0_3.png;mugen/polnareff/hit_02_0_4.png
Polnareff 1|Polnareff 1|Polnareff|1|polnareff|mugen/polnareff/idle_00_0_0.png|mugen/polnareff/idle_00_0_0.png;mugen/polnareff/idle_01_0_1.png;mugen/polnareff/idle_02_0_2.png;mugen/polnareff/idle_03_0_1.png;mugen/polnareff/idle_04_0_0.png|mugen/polnareff/walk_00_20_0.png;mugen/polnareff/walk_01_20_1.png;mugen/polnareff/walk_02_20_2.png;mugen/polnareff/walk_03_20_3.png;mugen/polnareff/walk_04_20_4.png;mugen/polnareff/walk_05_20_5.png;mugen/polnareff/walk_06_20_6.png;mugen/polnareff/walk_07_20_7.png|mugen/polnareff/punch_00_200_0.png;mugen/polnareff/punch_01_200_1.png;mugen/polnareff/punch_02_200_2.png;mugen/polnareff/punch_03_200_3.png|mugen/polnareff/kick_00_230_1.png;mugen/polnareff/kick_01_230_2.png;mugen/polnareff/kick_02_230_3.png;mugen/polnareff/kick_03_230_4.png;mugen/polnareff/kick_04_230_5.png;mugen/polnareff/kick_05_230_6.png;mugen/polnareff/kick_06_230_7.png;mugen/polnareff/kick_07_230_8.png;mugen/polnareff/kick_08_230_9.png;mugen/polnareff/kick_09_230_10.png|mugen/polnareff/idle_00_0_0.png;mugen/polnareff/idle_01_0_1.png;mugen/polnareff/idle_02_0_2.png;mugen/polnareff/idle_03_0_1.png;mugen/polnareff/idle_04_0_0.png|mugen/polnareff/hit_00_0_0.png;mugen/polnareff/hit_01_0_3.png;mugen/polnareff/hit_02_0_4.png
Old Joseph|Old_Joseph|Old_Joseph|1||||||||
Iggy|Iggy|Iggy|1||||||||
Shadow Dio|Shadow Dio|Shadow Dio|1|dio|mugen/dio/idle_00_0_7.png|mugen/dio/idle_00_0_7.png;mugen/dio/idle_01_0_8.png;mugen/dio/idle_02_0_9.png;mugen/dio/idle_03_0_10.png|mugen/dio/walk_00_20_0.png;mugen/dio/walk_01_20_1.png;mugen/dio/walk_02_20_2.png;mugen/dio/walk_03_20_3.png;mugen/dio/walk_04_20_4.png;mugen/dio/walk_05_20_5.png|mugen/dio/punch_00_200_35.png;mugen/dio/punch_01_200_36.png;mugen/dio/punch_02_200_37.png;mugen/dio/punch_03_200_39.png;mugen/dio/punch_04_200_40.png;mugen/dio/punch_05_200_40.png;mugen/dio/punch_06_200_34.png|mugen/dio/kick_00_200_58.png;mugen/dio/kick_01_200_59.png;mugen/dio/kick_02_200_60.png;mugen/dio/kick_03_200_61.png;mugen/dio/kick_04_200_62.png|mugen/dio/guard_00_120_0.png|mugen/dio/hit_00_6000_0.png
Dio|Dio|Dio|2|dio|mugen/dio/idle_00_0_7.png|mugen/dio/idle_00_0_7.png;mugen/dio/idle_01_0_8.png;mugen/dio/idle_02_0_9.png;mugen/dio/idle_03_0_10.png|mugen/dio/walk_00_20_0.png;mugen/dio/walk_01_20_1.png;mugen/dio/walk_02_20_2.png;mugen/dio/walk_03_20_3.png;mugen/dio/walk_04_20_4.png;mugen/dio/walk_05_20_5.png|mugen/dio/punch_00_200_35.png;mugen/dio/punch_01_200_36.png;mugen/dio/punch_02_200_37.png;mugen/dio/punch_03_200_39.png;mugen/dio/punch_04_200_40.png;mugen/dio/punch_05_200_40.png;mugen/dio/punch_06_200_34.png|mugen/dio/kick_00_200_58.png;mugen/dio/kick_01_200_59.png;mugen/dio/kick_02_200_60.png;mugen/dio/kick_03_200_61.png;mugen/dio/kick_04_200_62.png|mugen/dio/guard_00_120_0.png|mugen/dio/hit_00_6000_0.png
DIO K|DIO_K|DIO_K|2|dio|mugen/dio/idle_00_0_7.png|mugen/dio/idle_00_0_7.png;mugen/dio/idle_01_0_8.png;mugen/dio/idle_02_0_9.png;mugen/dio/idle_03_0_10.png|mugen/dio/walk_00_20_0.png;mugen/dio/walk_01_20_1.png;mugen/dio/walk_02_20_2.png;mugen/dio/walk_03_20_3.png;mugen/dio/walk_04_20_4.png;mugen/dio/walk_05_20_5.png|mugen/dio/punch_00_200_35.png;mugen/dio/punch_01_200_36.png;mugen/dio/punch_02_200_37.png;mugen/dio/punch_03_200_39.png;mugen/dio/punch_04_200_40.png;mugen/dio/punch_05_200_40.png;mugen/dio/punch_06_200_34.png|mugen/dio/kick_00_200_58.png;mugen/dio/kick_01_200_59.png;mugen/dio/kick_02_200_60.png;mugen/dio/kick_03_200_61.png;mugen/dio/kick_04_200_62.png|mugen/dio/guard_00_120_0.png|mugen/dio/hit_00_6000_0.png
DIO K 2.4|DIO_K 2.4|DIO_K|3|dio|mugen/dio/idle_00_0_7.png|mugen/dio/idle_00_0_7.png;mugen/dio/idle_01_0_8.png;mugen/dio/idle_02_0_9.png;mugen/dio/idle_03_0_10.png|mugen/dio/walk_00_20_0.png;mugen/dio/walk_01_20_1.png;mugen/dio/walk_02_20_2.png;mugen/dio/walk_03_20_3.png;mugen/dio/walk_04_20_4.png;mugen/dio/walk_05_20_5.png|mugen/dio/punch_00_200_35.png;mugen/dio/punch_01_200_36.png;mugen/dio/punch_02_200_37.png;mugen/dio/punch_03_200_39.png;mugen/dio/punch_04_200_40.png;mugen/dio/punch_05_200_40.png;mugen/dio/punch_06_200_34.png|mugen/dio/kick_00_200_58.png;mugen/dio/kick_01_200_59.png;mugen/dio/kick_02_200_60.png;mugen/dio/kick_03_200_61.png;mugen/dio/kick_04_200_62.png|mugen/dio/guard_00_120_0.png|mugen/dio/hit_00_6000_0.png
High DIO|High_DIO|High_DIO|3|dio|mugen/dio/idle_00_0_7.png|mugen/dio/idle_00_0_7.png;mugen/dio/idle_01_0_8.png;mugen/dio/idle_02_0_9.png;mugen/dio/idle_03_0_10.png|mugen/dio/walk_00_20_0.png;mugen/dio/walk_01_20_1.png;mugen/dio/walk_02_20_2.png;mugen/dio/walk_03_20_3.png;mugen/dio/walk_04_20_4.png;mugen/dio/walk_05_20_5.png|mugen/dio/punch_00_200_35.png;mugen/dio/punch_01_200_36.png;mugen/dio/punch_02_200_37.png;mugen/dio/punch_03_200_39.png;mugen/dio/punch_04_200_40.png;mugen/dio/punch_05_200_40.png;mugen/dio/punch_06_200_34.png|mugen/dio/kick_00_200_58.png;mugen/dio/kick_01_200_59.png;mugen/dio/kick_02_200_60.png;mugen/dio/kick_03_200_61.png;mugen/dio/kick_04_200_62.png|mugen/dio/guard_00_120_0.png|mugen/dio/hit_00_6000_0.png
Demon Lord Dio|Demon Lord Dio|Demon Lord Dio|3|dio|mugen/dio/idle_00_0_7.png|mugen/dio/idle_00_0_7.png;mugen/dio/idle_01_0_8.png;mugen/dio/idle_02_0_9.png;mugen/dio/idle_03_0_10.png|mugen/dio/walk_00_20_0.png;mugen/dio/walk_01_20_1.png;mugen/dio/walk_02_20_2.png;mugen/dio/walk_03_20_3.png;mugen/dio/walk_04_20_4.png;mugen/dio/walk_05_20_5.png|mugen/dio/punch_00_200_35.png;mugen/dio/punch_01_200_36.png;mugen/dio/punch_02_200_37.png;mugen/dio/punch_03_200_39.png;mugen/dio/punch_04_200_40.png;mugen/dio/punch_05_200_40.png;mugen/dio/punch_06_200_34.png|mugen/dio/kick_00_200_58.png;mugen/dio/kick_01_200_59.png;mugen/dio/kick_02_200_60.png;mugen/dio/kick_03_200_61.png;mugen/dio/kick_04_200_62.png|mugen/dio/guard_00_120_0.png|mugen/dio/hit_00_6000_0.png
Over Heaven DIO by QINYAN|Over Heaven DIO by QINYAN|Over Heaven DIO by QINYAN|3|dio|mugen/dio/idle_00_0_7.png|mugen/dio/idle_00_0_7.png;mugen/dio/idle_01_0_8.png;mugen/dio/idle_02_0_9.png;mugen/dio/idle_03_0_10.png|mugen/dio/walk_00_20_0.png;mugen/dio/walk_01_20_1.png;mugen/dio/walk_02_20_2.png;mugen/dio/walk_03_20_3.png;mugen/dio/walk_04_20_4.png;mugen/dio/walk_05_20_5.png|mugen/dio/punch_00_200_35.png;mugen/dio/punch_01_200_36.png;mugen/dio/punch_02_200_37.png;mugen/dio/punch_03_200_39.png;mugen/dio/punch_04_200_40.png;mugen/dio/punch_05_200_40.png;mugen/dio/punch_06_200_34.png|mugen/dio/kick_00_200_58.png;mugen/dio/kick_01_200_59.png;mugen/dio/kick_02_200_60.png;mugen/dio/kick_03_200_61.png;mugen/dio/kick_04_200_62.png|mugen/dio/guard_00_120_0.png|mugen/dio/hit_00_6000_0.png
Hol Horse|Hol Horse|Hol Horse|1||||||||
Vanilla Ice|Vanilla Ice|Vanilla Ice|2||||||||
JotaroPart4|JotaroPart4|JotaroPart4|1|jotaro|mugen/jotaro/idle_00_0_0.png|mugen/jotaro/idle_00_0_0.png;mugen/jotaro/idle_01_0_1.png;mugen/jotaro/idle_02_0_2.png;mugen/jotaro/idle_03_0_3.png;mugen/jotaro/idle_04_0_4.png;mugen/jotaro/idle_05_0_5.png|mugen/jotaro/walk_00_20_0.png;mugen/jotaro/walk_01_20_1.png;mugen/jotaro/walk_02_20_2.png;mugen/jotaro/walk_03_20_3.png;mugen/jotaro/walk_04_20_4.png;mugen/jotaro/walk_05_20_5.png;mugen/jotaro/walk_06_20_6.png;mugen/jotaro/walk_07_20_7.png|mugen/jotaro/punch_00_200_0.png;mugen/jotaro/punch_01_200_1.png;mugen/jotaro/punch_02_200_2.png;mugen/jotaro/punch_03_200_2.png;mugen/jotaro/punch_04_200_3.png|mugen/jotaro/idle_00_0_0.png;mugen/jotaro/idle_01_0_1.png;mugen/jotaro/idle_02_0_2.png;mugen/jotaro/idle_03_0_3.png;mugen/jotaro/idle_04_0_4.png;mugen/jotaro/idle_05_0_5.png|mugen/jotaro/guard_00_120_1.png|mugen/jotaro/hit_00_0_8.png;mugen/jotaro/hit_01_0_9.png;mugen/jotaro/hit_02_0_10.png;mugen/jotaro/hit_03_0_11.png
Jotaro Kujo(DIUAnimeSuit 1)|Jotaro Kujo(DIUAnimeSuit 1)|Jotaro Kujo(DIUAnimeSuit 1)|1|jotaro|mugen/jotaro/idle_00_0_0.png|mugen/jotaro/idle_00_0_0.png;mugen/jotaro/idle_01_0_1.png;mugen/jotaro/idle_02_0_2.png;mugen/jotaro/idle_03_0_3.png;mugen/jotaro/idle_04_0_4.png;mugen/jotaro/idle_05_0_5.png|mugen/jotaro/walk_00_20_0.png;mugen/jotaro/walk_01_20_1.png;mugen/jotaro/walk_02_20_2.png;mugen/jotaro/walk_03_20_3.png;mugen/jotaro/walk_04_20_4.png;mugen/jotaro/walk_05_20_5.png;mugen/jotaro/walk_06_20_6.png;mugen/jotaro/walk_07_20_7.png|mugen/jotaro/punch_00_200_0.png;mugen/jotaro/punch_01_200_1.png;mugen/jotaro/punch_02_200_2.png;mugen/jotaro/punch_03_200_2.png;mugen/jotaro/punch_04_200_3.png|mugen/jotaro/idle_00_0_0.png;mugen/jotaro/idle_01_0_1.png;mugen/jotaro/idle_02_0_2.png;mugen/jotaro/idle_03_0_3.png;mugen/jotaro/idle_04_0_4.png;mugen/jotaro/idle_05_0_5.png|mugen/jotaro/guard_00_120_1.png|mugen/jotaro/hit_00_0_8.png;mugen/jotaro/hit_01_0_9.png;mugen/jotaro/hit_02_0_10.png;mugen/jotaro/hit_03_0_11.png
Hamon Josuke|Hamon Josuke|Hamon Josuke|1||||||||
Josuke 3|Josuke 3|Josuke|1||||||||
Josuke 5|Josuke 5|Josuke|1||||||||
Okuyasu|Okuyasu|Okuyasu|1||||||||
Rohan|Rohan|Rohan|1||||||||
Koichi|Koichi|Koichi|1||||||||
Shigechi|Shigechi|Shigechi|1||||||||
Shizuka Joestar|Shizuka Joestar|Shizuka|1||||||||
Akira|Akira|Akira|1||||||||
Kira Yoshikage|Kira Yoshikage|Kira Yoshikage|2||||||||
Kira(Kosaku Kawajiri)|Kira(Kosaku Kawajiri)|Kira(Kosaku Kawajiri)|2||||||||
Giorno3|Giorno3|Giorno|1|giorno|mugen/giorno/idle_00_0_0.png|mugen/giorno/idle_00_0_0.png;mugen/giorno/idle_01_0_4.png;mugen/giorno/idle_02_0_1.png;mugen/giorno/idle_03_0_2.png;mugen/giorno/idle_04_0_3.png;mugen/giorno/idle_05_0_5.png;mugen/giorno/idle_06_0_6.png;mugen/giorno/idle_07_0_7.png;mugen/giorno/idle_08_0_0.png;mugen/giorno/idle_09_0_1.png;mugen/giorno/idle_10_0_2.png;mugen/giorno/idle_11_0_3.png|mugen/giorno/walk_00_20_2.png;mugen/giorno/walk_01_20_3.png;mugen/giorno/walk_02_20_4.png;mugen/giorno/walk_03_20_5.png;mugen/giorno/walk_04_20_6.png;mugen/giorno/walk_05_20_7.png;mugen/giorno/walk_06_20_0.png;mugen/giorno/walk_07_20_1.png|mugen/giorno/punch_00_200_0.png;mugen/giorno/punch_01_200_1.png;mugen/giorno/punch_02_200_2.png;mugen/giorno/punch_03_200_2.png;mugen/giorno/punch_04_200_3.png|mugen/giorno/kick_00_230_1.png;mugen/giorno/kick_01_230_2.png;mugen/giorno/kick_02_230_3.png;mugen/giorno/kick_03_230_4.png;mugen/giorno/kick_04_230_5.png;mugen/giorno/kick_05_230_6.png;mugen/giorno/kick_06_230_7.png;mugen/giorno/kick_07_230_8.png;mugen/giorno/kick_08_230_9.png;mugen/giorno/kick_09_230_10.png|mugen/giorno/guard_00_180_0.png|mugen/giorno/hit_00_180_0.png;mugen/giorno/hit_01_180_1.png;mugen/giorno/hit_02_180_11.png;mugen/giorno/hit_03_180_12.png
Giorno 4|Giorno 4|Giorno|2|giorno|mugen/giorno/idle_00_0_0.png|mugen/giorno/idle_00_0_0.png;mugen/giorno/idle_01_0_4.png;mugen/giorno/idle_02_0_1.png;mugen/giorno/idle_03_0_2.png;mugen/giorno/idle_04_0_3.png;mugen/giorno/idle_05_0_5.png;mugen/giorno/idle_06_0_6.png;mugen/giorno/idle_07_0_7.png;mugen/giorno/idle_08_0_0.png;mugen/giorno/idle_09_0_1.png;mugen/giorno/idle_10_0_2.png;mugen/giorno/idle_11_0_3.png|mugen/giorno/walk_00_20_2.png;mugen/giorno/walk_01_20_3.png;mugen/giorno/walk_02_20_4.png;mugen/giorno/walk_03_20_5.png;mugen/giorno/walk_04_20_6.png;mugen/giorno/walk_05_20_7.png;mugen/giorno/walk_06_20_0.png;mugen/giorno/walk_07_20_1.png|mugen/giorno/punch_00_200_0.png;mugen/giorno/punch_01_200_1.png;mugen/giorno/punch_02_200_2.png;mugen/giorno/punch_03_200_2.png;mugen/giorno/punch_04_200_3.png|mugen/giorno/kick_00_230_1.png;mugen/giorno/kick_01_230_2.png;mugen/giorno/kick_02_230_3.png;mugen/giorno/kick_03_230_4.png;mugen/giorno/kick_04_230_5.png;mugen/giorno/kick_05_230_6.png;mugen/giorno/kick_06_230_7.png;mugen/giorno/kick_07_230_8.png;mugen/giorno/kick_08_230_9.png;mugen/giorno/kick_09_230_10.png|mugen/giorno/guard_00_180_0.png|mugen/giorno/hit_00_180_0.png;mugen/giorno/hit_01_180_1.png;mugen/giorno/hit_02_180_11.png;mugen/giorno/hit_03_180_12.png
